,S. No.,Month,InBody/service/Dial,Client,Postal code,City,State,Region,Category,Sales Official,Installation Date,Order/ Model Details,LB,BSM,Home health,Accesory,Invoice Details,Actual Value,Ta,Total,PaymenReceive(Rs,BalancAmount,Installation Status,Warraty,Incentive date,6month visit,12month visit,18month visit
256,15,September,A,Aarti Bhagat,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000169,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
257,16,September,A,Afsha Waghu,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000170,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
258,17,September,A,Aishwarya Gupte,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000171,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
259,18,September,A,Anjana Menda,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000172,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
260,19,September,A,Apurva Surve,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000173,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
261,20,September,A,Arati Shah,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000174,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
262,21,September,A,Ayaz Khalek,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000175,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
263,22,September,A,Bhavna Parmar,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000176,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
264,23,September,A,Bibhu Moni Singha,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000177,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
265,24,September,A,Charmi Gala,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000178,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
266,25,September,A,Charvi Savdiya,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000179,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
267,26,September,A,Chetna Ral,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000180,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
268,27,September,A,Chetna Sonal,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000181,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
269,28,September,A,Disha Satra,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000182,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
270,29,September,A,Dr. Dheeraj Bhawnani,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000183,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
271,30,September,A,Drashti Dave,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000184,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
272,31,September,A,Frenny Thakkar,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000185,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
273,32,September,A,Harak Baxi,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000186,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
274,33,September,A,Harshita Katte,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000187,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
275,34,September,A,Hetalka Haria,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000188,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
276,35,September,A,Indrayani Pawar,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000189,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
277,36,September,A,Kanika Sachdeva,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000190,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
278,37,September,A,Kaynat Khan,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000191,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
279,38,September,A,Komal Jethmalani,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000192,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
280,39,September,A,Madhura Sawant,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000193,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
281,40,September,A,Madhura Shirsta,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000194,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
282,41,September,A,Manish Akbari,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000195,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
283,42,September,A,Manisha Sancheti,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000196,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
284,43,September,A,Meena Mulay,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000197,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
285,44,September,A,Megha Kothaul,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000198,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
286,45,September,A,Miloni Nandu,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000199,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
287,46,September,A,Misbah Dhunna,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000200,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
288,47,September,A,Mita Dugar,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000201,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
289,48,September,A,Mubashisha Sande,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000202,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
290,49,September,A,Munira Putli,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000203,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
291,50,September,A,Neha Nandwani,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000204,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
292,51,September,A,Neha Tanwani,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000205,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
293,52,September,A,Nikita Vail,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000206,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
294,53,September,A,Nitin Dadhe,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000207,2118.64,381.36,2500.0,2500.0,0.0,,,,,,
295,54,September,A,Purnima Gautam,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000208,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
296,55,September,A,Purva Shah,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000209,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
297,56,September,A,Rajini Govil,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000210,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
298,57,September,A,Revti Dhotre,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000211,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
299,58,September,A,Ritu Sikchi,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000212,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
300,59,September,A,Roshni Ali,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000213,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
301,60,September,A,Saloni Jhaveri,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000214,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
302,61,September,A,Sangita Pednekar,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000215,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
303,62,September,A,Sanmayee Pol,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000216,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
304,63,September,A,Sanmayee Pol,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000217,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
305,64,September,A,Sayali Kulkarni,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000218,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
306,65,September,A,Shaleen Parekh,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000219,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
307,66,September,A,Shikha Dwivedi,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000220,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
308,67,September,A,Sneha Ambre,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000221,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
309,68,September,A,Srishti Vasandani,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000222,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
310,69,September,A,Tania Saldanha,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000223,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
311,70,September,A,Tehseen Siddiqui,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000224,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
312,71,September,A,Vaibhavi Tailor,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000225,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
313,72,September,A,Varsha Gorey,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000226,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
314,73,September,A,Vidhi Mehta,,Mumbai,Maharashtra,West 1,Academia,Academia,17.09.2018,Academia,,,,,INV-000227,1271.18,228.82,1500.0,1500.0,0.0,,,,,,
315,74,September,S,ATHLETICA FITNESS LLP,395007.0,Surat,Gujrat,West 2,Fitness,Karn,19.09.2018,Service,,,,ACCS,INV-000230,4464.29,535.71,5000.0,0.0,5000.0,,,,,,
316,75,September,S,GL Fitness,110021.0,Delhi,Delhi,North,Fitness,Tushar,20.09.2018,Service,,,,ACCS,INV-000231,11000.0,1680.0,12680.0,5000.0,7680.0,,,,,,
317,76,September,S,GLOBAL HEALTH PVT LTD MEDANTA THE MEDICITY,,Gurgaon,Hyryana,North,Corporate,Dawson,20.09.2018,Service,,,,ACCS,INV-000232,0.0,0.0,0.0,0.0,0.0,,,,,,
318,77,September,S,PRIMOUS HOSPITAL / National Capital Territory of Delhi,110021.0,Delhi,Delhi,North,Medical,Tushar,20.09.2018,Service,,,,ACCS,INV-000233,17000.0,3060.0,20060.0,20060.0,0.0,,,,,,
319,78,September,S,Ravindranath GE Medical Associates Pvt Ltd,600100.0,Chennai,Tamilnadu,South,Medical,Karn,21.09.2018,Service,LB,,,ACCS,INV-000266,14500.0,1740.0,16240.0,16240.0,0.0,,,,,,
320,79,September,I,Freak Fitness,494001.0,Jagdalpur,Chhatisgarh,East,Fitness,Varun,21.09.2018,IB 120,LB,,,ACCS,INV-000267,196423.21,23576.79,220000.0,220000.0,0.0,,,,,,
321,80,September,I,I MONETARY ADVISORY,560041.0,Karnataka,Bangalore,South,Corporate,Karn,24.09.2018,IB 270,LB,,,,INV-000268,437500.0,52500.0,490000.0,490000.0,0.0,,,,,,
322,81,September,I,Cultural Research Institute Kolkata,700054.0,Kolkata,West Bengal,East,Research,Varun,28.09.2018,IB 120,LB,,,ACCS,INV-000309,178568.75,21431.25,200000.0,200000.0,0.0,,,,,,
323,82,September,A,Dt. Minal Asurlekar,,Mumbai,Maharashtra,West 1,Academia,Academia,24.09.2018,Academia,,,,,INV-000310,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
324,83-201,September,A,Inbody Academia Invoices,,Mumbai,Maharashtra,West 1,Academia,Academia,19.09.2018,Academia,,,,,INV-000320- INV000439,187788.2,41221.8,229010.0,229010.0,0.0,,,,,,
325,1,October,I,U Square,600004.0,Chennai,Tamilnadu,South,Pharma,Karn,01.10.2018,IB 120,LB,,,ACCS,INV-000311,147321.43,17678.57,165000.0,165000.0,0.0,,,,,,
326,2,October,M,The Himalaya Drug Company,562162.0,Bangalore,Karnataka,South,Pharma,Alamjeet,01.10.2018,Sponsership,,,,,INV-000312,400000.0,0.0,400000.0,392000.0,8000.0,,,,,,
327,3,October,A,MITS Nutracueticals Pvt Ltd,400706.0,Mumbai,Maharashtra,West 1,Pharma,Academia,01.10.2018,Academia,,,,,INV-000313,42372.88,7627.12,50000.0,50000.0,0.0,,,,,,
328,4,October,I,One n only Reethi Rah,20094.0,,Maldives,Overseas,Spa,Dawson,04.10.2018,IB 270,LB,,,ACCS,INV-000315,472407.0,,472407.0,472407.0,0.0,,,,,,
329,5,October,I,Daivik Life LLP,560022.0,Bangalore,Karnataka,South,Corporate,Kenneth,05.10.2018,IB 770,,BSM,,ACCS,INV-000316,1116071.43,133928.57,1250000.0,1250000.0,0.0,,,,,,
330,6,October,I,EventaX,560045.0,Bangalore,Karnataka,South,Corporate,Karn,05.10.2018,IB 270,,,,ACCS,INV-000317,500000.0,60000.0,560000.0,560000.0,0.0,,,,,,
331,7,October,I,Vibes Healthcare,800001.0,Bihar,UP,East,Wellness,Karn,09.10.2018,IB 270,,,,ACCS,INV-000318,348214.29,41785.71,390000.0,390000.0,0.0,,,,,,
332,8,October,I,Alltime Fitness Pvt Ltd ,201301.0,Noida,UP,East,Fitness,Shubham,11.10.2018,IB 270,LB,,,ACCS,INV-000418,410651.2,49348.8,460000.0,460000.0,0.0,,,,,,
333,9,October,S,Geneela Health & Fitness,,Jalandhar,Punjab,North,Fitness,Tushar,12.10.2018,Service,,,,,INV-000440,17857.14,2142.86,20000.0,20000.0,0.0,,,,,,
334,10,October,D,Jonath Jotinathan,611001.0,Nagapattinum,Tamilnadu,South,Amazon,Amazon,05.10.2018,InBody Dial,,,,,INV-000441,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
335,11,October,D,Arghya Chatterjee,700064.0,Kolkata,West Bengal,East,Amazon,Amazon,05.10.2018,InBody Dial,,,,,INV-000442,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
336,12,October,D,Suraj Nanda,400093.0,Mumbai,Maharashtra,West 1,Amazon,Amazon,06.10.2018,InBody Dial,,,,,INV-000443,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
337,13,October,D,Mohammed Shahbaz,560022.0,Bangalore,Karnataka,South,Amazon,Amazon,06.10.2018,InBody Dial,,,,,INV-000444,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
338,14,October,D,Yasim Shaikh,401107.0,Thane,Maharashtra,West 1,Amazon,Amazon,06.10.2018,InBody Dial,,,,,INV-000445,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
339,15,October,D,X-Trim fitness Club,413501.0,Usmanabad,Maharashtra,West 1,Amazon,Amazon,12.10.2018,InBody Dial,,,,,INV-000446,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
340,16,October,I,Medlbase Coaching Institite,560041.0,Bangalore,Karnataka,South,Education,Karn,16.10.2018,IB 270,LB,,,,INV-000447,383928.57,46071.43,430000.0,430000.0,0.0,,,,,,
341,17,October,I,Yashmaxx Fitness,560064.0,Bangalore,Karnataka,South,Fitness,Eshan,16.10.2018,IB 270,LB,,,ACCS,INV-000448,446428.57,53571.43,500000.0,500000.0,0.0,,,,,,
342,18,October,S,F2 Fun n Fitness Pvt Ltd,400093.0,Mumbai,Maharashtra,West 1,Fitness,Dawson,19.10.2018,Service,,,,,INV-000449,8921.0,1069.0,9990.0,9990.0,0.0,,,,,,
343,19,October,I,Press Wellness Pvt Ltd,400005.0,Mumbai,Maharashtra,West 1,Wellness,Anees,19.10.2018,IB 270,,,,ACCS,INV-000450,401785.7,48214.3,450000.0,450000.0,0.0,,,,,,
344,20,October,I,Yenepoya,575018.0,Mangluru,Karnataka,South,Education,Karn,19.10.2018,IB 770,LB,BSM,,ACCS,INV-000451,980000.0,49000.0,1029000.0,1029000.0,0.0,,,,,,
345,21,October,I,Magadh Health & lifestyle,800020.0,Patna,Bihar,East,,Varun,22.10.2018,IB 270,,,,ACCS,INV-000452,379460.0,45540.0,425000.0,425000.0,0.0,,,,,,
346,22,October,S,Gold Fitness Pvt Ltd,400067.0,Mumbai,Maharashtra,West 1,Fitness,Kenneth,22.10.2018,Service,,,,,INV-000453,8919.64,1070.36,9990.0,9990.0,0.0,,,,,,
347,23,October,D,Sonam Karma,735208.0,Jalpalguri,West Bengal,East,Amazon,Amazon,15.10.2018,InBody Dial,,,,,INV-000454,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
348,24,October,D,Arpit Singh,462039.0,Bhopal,Madhyapradesh,East,Amazon,Amazon,15.10.2018,InBody Dial,,,,,INV-000455,16946.43,2033.57,18980.0,18980.0,0.0,,,,,,
349,25,October,D,Raghu Sai,515001.0,Anantpur,Andhrapradesh,East,Amazon,Amazon,21.10.2018,InBody Dial,,,,,INV-000456,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
350,26,October,D,Mohd Islam Ansari,,,,,Employee Gift,Employee Gift,05.10.2018,InBody Dial,,,,,INV-000457,0.0,0.0,0.0,0.0,0.0,,,,,,
351,27,October,D,Varun Vartak,,,,,Employee Gift,Employee Gift,05.10.2018,InBody Dial,,,,,INV-000458,0.0,0.0,0.0,0.0,0.0,,,,,,
352,28,October,D,Ayan Roy,,,,,Employee Gift,Employee Gift,05.10.2018,InBody Dial,,,,,INV-000459,0.0,0.0,0.0,0.0,0.0,,,,,,
353,29,October,D,Karn Sharma,,,,,Employee Gift,Employee Gift,05.10.2018,InBody Dial,,,,,INV-000460,0.0,0.0,0.0,0.0,0.0,,,,,,
354,30,October,D,Dawson Kim,,,,,Employee Gift,Employee Gift,05.10.2018,InBody Dial,,,,,INV-000461,0.0,0.0,0.0,0.0,0.0,,,,,,
355,32,October,I,Conquer Fitness,412308.0,Pune,Maharashtra,West 1,Fitness,Ayan,23.10.2018,IB 120,LB,,,ACCS,INV-000463,214285.72,25714.28,240000.0,240000.0,0.0,,,,,,
356,34,October,I,Nutrica International Pvt Ltd,400070.0,Mumbai,Maharashtra,West 1,Corporate,Anees,25.10.2018,Sponsership,,,,,INV-000466,300000.0,0.0,300000.0,0.0,300000.0,,,,,,
357,35,October,I,Multifit Wellness Pvt Ltd,560077.0,Bengaluru,Karnataka,South,Wellness,Karn,26.10.2018,IB 270,,,,ACCS,INV-000467,334821.43,40178.57,375000.0,187500.0,187500.0,,,,,,
358,36,October,I,Samanvya LLP,560003.0,Bangalore,Karnataka,South,Corporate,Karn,26.10.2018,IB 270,LB,,,,INV-000468,384330.36,46119.64,430450.0,430450.0,0.0,,,,,,
359,37,October,I,Gharda Chemical Limited,415722.0,Ratnagiri,Maharashtra,West 1,Corporate,Chanu,29.10.2018,IB 120,LB,,,ACCS,INV-000469,200891.26,24108.74,225000.0,225000.0,0.0,,,,,,
360,37,October,K,Gharda Chemical Limited,415722.0,Ratnagiri,Maharashtra,West 1,Corporate,Chanu,29.10.2018, InKids,,,,,,,,,,,,,,,,
361,38,October,I,Evolve Fitness,495001.0,Chhattisgarh,Bilaspur,East,Fitness,Varun,30.10.2018,IB 120,LB,,,ACCS,INV-000470,205352.86,24647.14,230000.0,230000.0,0.0,,,,,,
362,39,October,S,Boost Events,400064.0,Malad,Maharashtra,West 1,Service,Arun,30.10.2018,Service,,,,,INV-000471,5000.0,900.0,5900.0,5900.0,0.0,,,,,,
363,40,October,S,Boost Events,400064.0,Malad,Maharashtra,West 1,Service,Arun,30.10.2018,Service,,,,,INV-000472,15000.0,2700.0,17700.0,17700.0,0.0,,,,,,
364,41,October,S,Gold Fitness Pvt Ltd,400067.0,Mumbai,Maharashtra,West 1,Fitness,Kenneth,22.10.2018,Service,,,,,INV-000473,8919.64,1070.36,9990.0,9990.0,0.0,,,,,,
365,42,October,S,Ravvisant Pvt Ltd,110065.0,New Delhi,Delhi,North,Corporate,Shubham,31.10.2018,Service,,,,,INV-000474,14500.0,1740.0,16240.0,16240.0,0.0,,,,,,
366,43,October,A,Megha Hemant Desai,,Mumbai,Maharashtra,West 1,Academia,Academia,31.10.2018,Academia,,,,,INV-000475,2542.38,457.62,3000.0,3000.0,0.0,,,,,,
367,44,October,S,Meenakshi Multitrade Pvt Ltd,400607.0,Mumbai,Maharashtra,West 1,Service,Anees,31.10.2018,270 Result Sheet,,,,,INV-000515,4464.28,535.72,5000.0,5000.0,0.0,,,,,,
368,1,November,I,"Dr. Rucha Mehta, Edmo Clinic",380015.0,Ahmedabad,Gujrat,West 2,Medical,Mahesh,01.11.2018,IB 270,,,,ACCS,INV-000462,330399.11,39647.89,370047.0,200000.0,170047.0,,,,,,
369,2,November,I,Naina Fitness,411017.0,Pune,Maharashtra,West 1,Fitness,Ayan,02.11.2018,IB 270,,,,ACCS,INV-000476,375000.0,45000.0,420000.0,420000.0,0.0,,,,,,
370,3,November,S,Press Wellness Pvt Ltd,40005.0,Mumbai,Maharashtra,West 1,Wellness,Anees,05.11.2018,LB 120,,,,,INV-000477,10750.0,1290.0,12040.0,12040.0,0.0,,,,,,
371,4,November,I,VNV Fitness Pvt Ltd,244001.0,Moradabad,Uttar Pradesh,North,Fitness,Alamjeet,05.11.2018,IB 270,,,,ACCS,INV-000478,410704.43,49295.57,460000.0,460000.0,0.0,,,,,,
372,5,November,I,Dr. Prashant Advani,492006.0,Chhattisgarh,Raipur,East,Medical,Varun,05.11.2018,IB 120,LB,,,ACCS,INV-000479,178568.75,21431.25,200000.0,200000.0,0.0,,,,,,
373,6,November,I,Aerofitness,781038.0,Assam,Guwahati,East,Fitness,Nasir,05.11.2018,IB 120,LB,,,ACCS,INV-000480,178568.75,21431.25,200000.0,200000.0,0.0,,,,,,
374,7,November,I,Raaw Fitness,411014.0,Pune,Maharashtra,West 1,Fitness,Ayan,06.11.2018,IB 270,,,,ACCS,INV-000481,387500.0,46500.0,434000.0,434000.0,0.0,,,,,,
375,8,November,I,Reboot Fitness Hub,324005.0,Kota,Rajasthan,North,Fitness,Mahesh,12.11.2018,IB 270,,BSM,,ACCS,INV-000482,424097.27,50902.73,475000.0,240000.0,235000.0,,,,,,
376,9,November,I,Yaduvanshi Fitness Club Pvt Ltd,302021.0,Jaipur,Rajasthan,North,Fitness,Arun,14.11.2018,IB 270,,,,ACCS,INV-000483,401783.79,48216.21,450000.0,225000.0,225000.0,,,,,,
377,10,November,K,Jarma Wellness LLP,400053.0,Mumbai,Maharashtra,West 1,Wellness,Varun,14.11.2018,InKids,,,,,INV-000484,0.0,0.0,0.0,0.0,0.0,,,,,,
378,11,November,S,Aryanbagga Assosiates Pvt Ltd,110009.0,Delhi,Delhi,North,Corporate,Tushar,19..11.2018,Result Sheet IB 270,,,,ACCS,INV-000485,3571.43,428.57,4000.0,4000.0,0.0,,,,,,
379,12,November,A,Krupa Mhatre,,Mumbai,Maharashtra,West 1,Academia,Academia,02.11.2018,Academia,,,,,INV-000486,1694.92,305.08,2000.0,2000.0,0.0,,,,,,
380,13,November,I,VC Fitness,400050.0,Bandra,Maharashtra,West 1,Fitness,Anees,21.11.2018,IB 270,,,,ACCS,INV-000487,383571.0,46028.52,429599.52,200000.0,229599.52,,,,,,
381,14,November,S,Burgers To Beasts,400006.0,Mumbai,Maharashtra,West 1,Fitness,Dawson,21.11.2018,Adapter,,,,ACCS,INV-000488,2678.58,321.42,3000.0,3000.0,0.0,,,,,,
382,15,November,I,Vibes Healthcare Ltd,700059.0,Kolkata,West Bengal,East,Wellness,Karn,23.11.2018,IB 270,,,,ACCS,INV-000489,348214.29,41785.71,390000.0,0.0,390000.0,,,,,,
383,16,November,I,Misimi Wellness Pvt Ltd,500033.0,Hyderabad,Telangana,South,Wellness,Taukheer,23.11.2018,IB 270,LB,,,,INV-000490,401785.71,48214.29,450000.0,315000.0,135000.0,,,,,,
384,17,November,I,Pine Services Pvt Ltd,800020.0,Patna,Bihar,East,Corporate,Varun,26.11.2018,IB 120,LB,,,ACCS,INV-000491,178593.75,21431.25,200025.0,50000.0,150025.0,,,,,,
385,18,November,I,Yuvraj Fitness Centre,474011.0,Gwalior,MP,East,Fitness,Anees,26.11.2018,IB 370 S,,,,ACCS,INV-000492,491156.25,58938.75,550095.0,550095.0,0.0,,,,,,
386,19,November,I,Sarka World Hospital,560103.0,Banglore,Karnataka,South,Medical,Karn,26.11.2018,IB 770 Brown,LB,BSM,,ACCS,INV-000493,1026785.71,123214.29,1150000.0,0.0,1150000.0,,,,,,
387,20,November,I,Jaswanth Fiitness,500060.0,Hyderabad,Telangana,South,Fitness,Karn,28.11.2018,IB 270,LB,,,,INV-000494,419641.04,50358.96,470000.0,0.0,470000.0,,,,,,
388,21,November,D,Zothansanga,796009.0,Aizwal,Mizorum,East,Amazon,Amazon,28.11.2018,IB Dial,,,,,INV-000495,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
389,,November,,InBody Challenge,,,,,,,,,,,,,IBC18-1 To IBC18-762,645764.52,116235.48,762000.0,762000.0,0.0,,,,,,
390,1,December,I,Sportiqo Fitness LLP,700064.0,Kolkata,West Bengal,East,Fitness,Kenneth,04.12.2018,IB 270,,,,ACCS,INV-000496,410714.29,49285.71,460000.0,322000.0,138000.0,,,,,,
391,2,December,I,Saransh Fitness Solutions,411021.0,Pune,Maharashtra,West 1,Fitness,Ayan,05.12.2018,IB 120,LB,,,ACCS,INV-000497,205357.14,24642.86,230000.0,230000.0,0.0,,,,,,
392,3,December,I,Sprusans Origin Pvt Ltd,411011.0,Pune,Maharashtra,West 1,Corporate,Ayan,05.12.2018,IB 270,LB,,,ACCS,INV-000498,388392.84,46607.16,435000.0,174000.0,261000.0,,,,,,
393,4,December,S,Jupiter Lifeline Hospitals,400601.0,Thane,Maharashtra,West 1,Medical,Dawson,07.12.2018,Service Contract,,,,,INV-000499,16949.16,3050.84,20000.0,20000.0,0.0,,,,,,
394,5,December,D,Joginder Gandhi,244001.0,Moradabad,Uttarpradesh,North,Amazon,Amazon,04.12.2018,InBody Dial,,,,,INV-000500,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
